Name,County,Acres,Km2,Start Date,Contained Date,Notes
American River Complex,Placer,"20,541",83.1,"June 21, 2008","July 30, 2008",
Yuba River Complex,Sierra,"4,254",17.2,"June 21, 2008","July 15, 2008",
Whiskeytown Complex,Shasta,"6,420",26.0,"June 21, 2008","July 19, 2008",
Klamath Theater Complex,Siskiyou,"192,038",777.2,"June 21, 2008","September 30, 2008",2 firefighters killed.[5]
Popcorn,Lassen,"3,000",12.1,"June 22, 2008","July 8, 2008",
Mill Complex,Tehama,"2,100",8.5,"June 22, 2008","June 29, 2008",
Walker,Lake,"15,000",60.7,"June 22, 2008","June 29, 2008",
Orr Springs Rd Ukv 2,Mendocino,"3,000",12.1,"June 22, 2008","July 10, 2008",
5-8 Cliff Lightning,Mendocino,"1,000",4.0,"June 22, 2008","July 13, 2008",
Venture,Shasta,"1,912",7.7,"June 22, 2008","July 4, 2008",
Corral,Lassen,"12,500",50.6,"June 23, 2008","July 7, 2008",
Oliver,Mariposa,"2,789",11.3,"June 23, 2008","July 6, 2008",
Mill Creek,Tehama,"13,580",55.0,"June 24, 2008","July 1, 2008",
Piute,Kern,"37,026",149.8,"June 28, 2008","July 25, 2008",
Hardy,Mendocino,"5,581",22.6,"June 30, 2008","June 30, 2008",
Gap,Santa Barbara,"9,443",38.2,"July 1, 2008","July 28, 2008",
Butch Lightning,Mendocino,"2,800",11.3,"July 4, 2008","July 4, 2008",
Lost Pipe Lightning,Mendocino,"1,200",4.9,"July 4, 2008","July 10, 2008",
Jack Smith Lightning,Mendocino,"2,000",8.1,"July 4, 2008","July 15, 2008",
Albion Lightning,Mendocino,"3,000",12.1,"July 4, 2008","July 8, 2008",
Horse Lightning,Mendocino,"1,000",4.0,"July 4, 2008","July 8, 2008",
Orr Series Lightning,Mendocino,"3,000",12.1,"July 4, 2008","July 13, 2008",
Montgomery Flat Lightning,Mendocino,"3,000",12.1,"July 4, 2008","July 15, 2008",
Alder Creek Beach,Mendocino,"1,000",4.0,"July 7, 2008","July 7, 2008",
Tehipite,Fresno,"11,596",46.9,"July 19, 2008","November 11, 2008",
Panther,Siskiyou,"72,344",292.8,"July 24, 2008","September 30, 2008",
Telegraph,Mariposa,"34,091",138.0,"July 25, 2008","September 15, 2008",
Rich,Plumas,"6,112",24.7,"July 29, 2008","August 10, 2008",
Craig,Butte,"2,001",8.1,"August 3, 2008","August 11, 2008",
Rim,Butte,"1,651",6.7,"August 13, 2008","August 13, 2008",
Empire,Butte,"2,000",8.1,"August 13, 2008","August 13, 2008",
Camp Beldon and Pit,Butte,"47,647",192.8,"July 8, 2008","August 13, 2008",
Smokey,Butte,"1,324",5.4,"August 13, 2008","August 13, 2008",
Jack,Siskiyou,"6,900",27.9,"August 17, 2008","August 22, 2008",
Gladding,Placer,"1,000",4.0,"September 1, 2008","September 3, 2008",
Gulch,Shasta,"2,847",11.5,"September 7, 2008","September 11, 2008",
Hidden,Tulare,"3,668",14.8,"September 10, 2008","September 30, 2008",
Chalk,Monterey,"16,269",65.8,"September 25, 2008","October 29, 2008",
November,San Diego,"1,400",5.7,"October 8, 2008","October 9, 2008",
Marek,Los Angeles,"4,824",19.5,"October 12, 2008","October 16, 2008",
Sesnon,Los Angeles,"14,703",59.5,"October 13, 2008","October 18, 2008",
Juliett,San Diego,"4,026",16.3,"October 13, 2008","October 17, 2008",
Lackerman,Butte,"1,310",5.3,"October 23, 2008","October 23, 2008",
Tea,Santa Barbara,"1,940",7.9,"November 13, 2008","November 17, 2008",
Sayre,Los Angeles,"11,200",45.3,"November 14, 2008","November 20, 2008",
Freeway Complex,Riverside,"30,305",122.6,"November 15, 2008","November 22, 2008",
"
",,,,,,
