Name,County,Acres,Start Date,Contained Date,Notes,"hide
Ref"
Fox,Siskiyou,"2,188",September 14,September 29,Human-caused,[123][124]
Snow,Riverside,"6,254",September 17,October 6,Unknown cause,[125][126][127]
Glass,"Napa, Sonoma","67,484",September 27,October 20,"Unknown cause; 1,555 structures destroyed; 280 structures damaged",[128]
Zogg,Shasta,"56,338",September 27,October 13,"204 structures destroyed; 27 structures damaged; 4 fatalities, 1 injury; historic town of Ono destroyed",[129][130]
Silverado,Orange,"12,466",October 26,November 7,"Downed SCE power line; 2 hand crew firefighters critically injured; over 90,000 people evacuated; 5 structures destroyed, 9 structures damaged",[131][132]
Blue Ridge,"Orange, San Bernardino, Riverside","13,694",October 26,November 7,"Downed SCE power line; 1 structure destroyed, 10 structures damaged; at least 30,000 people evacuated",[133][134][135]
Laura 2,Lassen,"2,800",November 17,November 24,Unknown cause; 48 structures destroyed; 4 structures damaged,[136][137]
Mountain View,"Mono, Alpine","20,385",November 17,December 11,Unknown cause; 81 structures destroyed; 1 fatality,[138][139][137]
Airport,Riverside,"1,087",December 1,December 12,Unknown cause,[140]
Bond,Orange,"6,686",December 2,December 10,Started by a house fire; 31 structures destroyed; 21 structures damaged; 2 firefighter injuries,[141][142][143][144][145]
Sanderson,Riverside,"1,933",December 13,December 14,Unknown cause,[146]
Creek 5,San Diego,"4,276",December 23,December 31,"Unknown cause; over 7,000 people evacuated from housing areas on Camp Pendleton",[147][148][3]
