Name,County,Acres,Start Date,Contained Date,Notes,Ref
Tubbs,Napa/Sonoma,"36,807","October 8, 2017","October 31, 2017","22 fatalities, 1 injured, 5,643 structures destroyed",[62]
Nuns,Sonoma,"56,556","October 8, 2017","October 30, 2017","Merged with the Norrbom, Adobe, Partrick, Pressley, and Oakmont Fires. 3 fatalities, 1,200 structures destroyed",[63]
Redwood Valley Complex,Mendocino,"36,523","October 8, 2017","October 28, 2017","9 fatalities, 43 injured, 545 structures destroyed",[64][65]
La Porte,Butte,"6,151","October 9, 2017","October 18, 2017",,[66]
Cascade,Yuba,"9,989","October 9, 2017","October 18, 2017","4 fatalities, 143 residential, 123 outbuildings destroyed",[67]
Sulphur,Lake,"2,207","October 9, 2017","October 26, 2017",150 structures destroyed,[68]
Canyon 2,Orange,"9,217","October 9, 2017","October 18, 2017","25 structures destroyed, 55 structures damaged",[69]
37,Sonoma,"1,660","October 9, 2017","October 13, 2017",,[70]
Pocket,Sonoma,"17,357","October 9, 2017","October 31, 2017",,[71]
Lobo,Nevada,821,"October 9, 2017","October 18, 2017",At least 30 structures destroyed,[72]
Bear,Santa Cruz,391,"October 16, 2017","October 27, 2017","7 injuries, 4 structures destroyed",[73]
Buffalo Fire,San Diego,"1,088","October 17, 2017","November 14, 2017",,[74]
Wildomar,Riverside,866,"October 27, 2017","October 29, 2017",,[75]
Thomas,Ventura/Santa Barbara,"281,893","December 4, 2017","January 12, 2018","1,063 structures destroyed, 280 structures damaged, 2 firefighters injured, 1 firefighter and 1 civilian killed",[12][76][77][78][79]
Creek,Los Angeles,"15,619","December 5, 2017","January 9, 2018","123 buildings destroyed, 81 buildings damaged, 3 firefighters injured",[80][81][82]
Rye,Los Angeles,"6,049","December 5, 2017","December 12, 2017","6 buildings destroyed, 3 structures damaged, 1 firefighter injured",[83][12][84]
Little Mountain,San Bernardino,260,"December 5, 2017","December 7, 2017",3 injuries,[85][86][87][88]
Skirball,Los Angeles,422,"December 6, 2017","December 15, 2017","6 structures destroyed, 12 structures damaged, 3 firefighters injured",[89][90][91]
Lilac,San Diego,"4,100","December 7, 2017","December 16, 2017","157 structures destroyed, 64 structures damaged, 3 firefighters and 4 civilians injured",[92][93]
Liberty,Riverside,300,"December 7, 2017","December 9, 2017",7 structures destroyed,[94][95]
